,time,BBDC4,GGBR4,MGLU3
530,2022-04-26T10:00:00-03:00,18.53,26.63,5.33
531,2022-04-26T11:00:00-03:00,18.37,26.44,5.26
532,2022-04-26T12:00:00-03:00,18.27,26.22,5.27
533,2022-04-26T13:00:00-03:00,18.29,27.09,5.27
534,2022-04-26T14:00:00-03:00,18.18,26.1,5.27
535,2022-04-26T15:00:00-03:00,18.22,26.7,5.26
536,2022-04-26T16:00:00-03:00,18.25,26.75,5.21
537,2022-04-26T17:00:00-03:00,18.28,26.62,5.18
541,2022-04-27T10:00:00-03:00,18.32,27.86,5.4
542,2022-04-27T11:00:00-03:00,18.28,27.95,5.29
543,2022-04-27T12:00:00-03:00,18.39,27.85,5.28
544,2022-04-27T13:00:00-03:00,18.32,28.35,5.23
545,2022-04-27T14:00:00-03:00,18.36,27.61,5.21
546,2022-04-27T15:00:00-03:00,18.32,28.33,5.19
547,2022-04-27T16:00:00-03:00,18.3,28.1,5.11
548,2022-04-27T17:00:00-03:00,18.39,28.22,5.1
552,2022-04-28T10:00:00-03:00,18.19,28.33,5.12
553,2022-04-28T11:00:00-03:00,18.25,28.59,5.05
554,2022-04-28T12:00:00-03:00,18.14,28.85,5.05
555,2022-04-28T13:00:00-03:00,18.21,28.83,5.15
556,2022-04-28T14:00:00-03:00,18.23,28.56,5.15
557,2022-04-28T15:00:00-03:00,18.31,29.36,5.25
558,2022-04-28T16:00:00-03:00,18.14,29.21,5.19
559,2022-04-28T17:00:00-03:00,18.22,29.04,5.18
563,2022-04-29T10:00:00-03:00,18.58,28.01,5.18
564,2022-04-29T11:00:00-03:00,18.55,27.95,5.05
565,2022-04-29T12:00:00-03:00,18.4,27.66,5.1
566,2022-04-29T13:00:00-03:00,18.4,28.51,5.08
567,2022-04-29T14:00:00-03:00,18.4,28.44,5.02
568,2022-04-29T15:00:00-03:00,18.21,28.15,4.96
569,2022-04-29T16:00:00-03:00,18.07,28.23,4.94
572,2022-05-02T09:00:00-03:00,17.65,26.61,4.88
573,2022-05-02T10:00:00-03:00,17.58,26.63,4.9
574,2022-05-02T11:00:00-03:00,17.63,26.78,4.87
575,2022-05-02T12:00:00-03:00,17.62,26.65,4.85
576,2022-05-02T13:00:00-03:00,17.78,27.11,4.82
577,2022-05-02T14:00:00-03:00,17.81,27.26,4.81
578,2022-05-02T15:00:00-03:00,17.81,27.12,4.75
579,2022-05-02T16:00:00-03:00,17.93,27.45,4.78
580,2022-05-02T17:00:00-03:00,17.97,27.4,4.8
584,2022-05-03T10:00:00-03:00,17.8,27.32,4.73
585,2022-05-03T11:00:00-03:00,17.88,27.29,4.64
586,2022-05-03T12:00:00-03:00,17.87,27.21,4.64
587,2022-05-03T13:00:00-03:00,17.98,27.79,4.63
588,2022-05-03T14:00:00-03:00,17.85,27.77,4.63
589,2022-05-03T15:00:00-03:00,18.05,27.69,4.61
590,2022-05-03T16:00:00-03:00,18.11,27.74,4.6
595,2022-05-04T10:00:00-03:00,17.92,26.4,4.51
596,2022-05-04T11:00:00-03:00,17.95,26.35,4.41
597,2022-05-04T12:00:00-03:00,18.08,26.65,4.41
598,2022-05-04T13:00:00-03:00,18.1,26.87,4.47
599,2022-05-04T14:00:00-03:00,18.23,27.01,4.46
600,2022-05-04T15:00:00-03:00,18.26,27.12,4.62
601,2022-05-04T16:00:00-03:00,18.35,27.41,4.97
606,2022-05-05T10:00:00-03:00,17.45,26.8,4.57
607,2022-05-05T11:00:00-03:00,17.48,26.88,4.48
608,2022-05-05T12:00:00-03:00,17.38,27.63,4.42
609,2022-05-05T13:00:00-03:00,17.63,27.27,4.48
610,2022-05-05T14:00:00-03:00,17.59,27.49,4.46
611,2022-05-05T15:00:00-03:00,17.56,28.12,4.41
612,2022-05-05T16:00:00-03:00,17.69,28.03,4.42
617,2022-05-06T10:00:00-03:00,18.0,28.08,4.27
618,2022-05-06T11:00:00-03:00,17.89,27.6,4.36
619,2022-05-06T12:00:00-03:00,18.0,27.63,4.35
620,2022-05-06T13:00:00-03:00,18.18,28.58,4.45
621,2022-05-06T14:00:00-03:00,17.91,27.64,4.38
622,2022-05-06T15:00:00-03:00,18.18,28.12,4.38
623,2022-05-06T16:00:00-03:00,18.18,28.02,4.32
624,2022-05-06T17:00:00-03:00,18.1,28.2,4.3
628,2022-05-09T10:00:00-03:00,18.18,27.3,4.07
629,2022-05-09T11:00:00-03:00,18.25,27.14,4.01
630,2022-05-09T12:00:00-03:00,18.29,27.3,4.04
631,2022-05-09T13:00:00-03:00,18.36,27.79,3.99
632,2022-05-09T14:00:00-03:00,18.21,26.92,3.93
633,2022-05-09T15:00:00-03:00,18.48,27.78,3.96
634,2022-05-09T16:00:00-03:00,18.35,27.53,3.92
635,2022-05-09T17:00:00-03:00,18.37,27.54,3.91
639,2022-05-10T10:00:00-03:00,18.32,25.33,3.94
640,2022-05-10T11:00:00-03:00,18.39,25.55,3.86
641,2022-05-10T12:00:00-03:00,18.44,25.46,3.87
642,2022-05-10T13:00:00-03:00,18.52,25.78,3.87
643,2022-05-10T14:00:00-03:00,18.34,25.92,4.01
644,2022-05-10T15:00:00-03:00,18.64,25.91,3.99
645,2022-05-10T16:00:00-03:00,18.59,26.38,3.98
646,2022-05-10T17:00:00-03:00,18.55,26.34,3.95
649,2022-05-11T09:00:00-03:00,18.69,27.02,3.95
650,2022-05-11T10:00:00-03:00,18.61,26.65,4.03
651,2022-05-11T11:00:00-03:00,18.67,26.44,4.02
652,2022-05-11T12:00:00-03:00,18.81,26.78,4.05
653,2022-05-11T13:00:00-03:00,18.8,27.12,4.04
654,2022-05-11T14:00:00-03:00,18.73,26.63,3.94
655,2022-05-11T15:00:00-03:00,19.0,27.25,3.98
656,2022-05-11T16:00:00-03:00,18.88,27.14,3.94
657,2022-05-11T17:00:00-03:00,18.87,27.12,3.93
661,2022-05-12T10:00:00-03:00,18.88,26.85,3.82
662,2022-05-12T11:00:00-03:00,18.8,26.76,4.12
663,2022-05-12T12:00:00-03:00,18.73,26.56,4.07
664,2022-05-12T13:00:00-03:00,19.06,27.32,4.1
665,2022-05-12T14:00:00-03:00,18.81,26.93,4.12
666,2022-05-12T15:00:00-03:00,18.92,27.03,4.09
667,2022-05-12T16:00:00-03:00,19.02,27.41,4.19
668,2022-05-12T17:00:00-03:00,18.99,27.39,4.18
672,2022-05-13T10:00:00-03:00,19.11,27.49,4.39
673,2022-05-13T11:00:00-03:00,19.12,27.45,4.41
674,2022-05-13T12:00:00-03:00,19.13,27.37,4.35
675,2022-05-13T13:00:00-03:00,19.3,27.98,4.4
676,2022-05-13T14:00:00-03:00,19.01,27.43,4.37
677,2022-05-13T15:00:00-03:00,19.32,27.85,4.38
678,2022-05-13T16:00:00-03:00,19.27,27.81,4.4
679,2022-05-13T17:00:00-03:00,19.21,27.8,4.38
683,2022-05-16T10:00:00-03:00,19.37,27.94,4.37
684,2022-05-16T11:00:00-03:00,19.36,27.92,4.44
685,2022-05-16T12:00:00-03:00,19.37,27.98,4.5
686,2022-05-16T13:00:00-03:00,19.56,28.43,4.52
687,2022-05-16T14:00:00-03:00,19.31,27.76,4.53
688,2022-05-16T15:00:00-03:00,19.57,28.47,4.49
689,2022-05-16T16:00:00-03:00,19.52,28.29,4.45
694,2022-05-17T10:00:00-03:00,19.64,28.27,4.41
695,2022-05-17T11:00:00-03:00,19.62,28.09,4.26
696,2022-05-17T12:00:00-03:00,19.66,28.06,4.22
697,2022-05-17T13:00:00-03:00,19.85,28.26,4.09
698,2022-05-17T14:00:00-03:00,19.64,27.95,4.05
699,2022-05-17T15:00:00-03:00,19.85,28.07,3.96
700,2022-05-17T16:00:00-03:00,19.93,28.07,3.96
705,2022-05-18T10:00:00-03:00,19.4,26.87,4.0
706,2022-05-18T11:00:00-03:00,19.33,26.53,3.89
707,2022-05-18T12:00:00-03:00,19.3,26.38,3.85
708,2022-05-18T13:00:00-03:00,19.6,26.87,3.87
709,2022-05-18T14:00:00-03:00,19.36,26.55,3.77
710,2022-05-18T15:00:00-03:00,19.49,26.38,3.74
711,2022-05-18T16:00:00-03:00,19.54,26.35,3.72
716,2022-05-19T10:00:00-03:00,19.13,27.15,3.76
717,2022-05-19T11:00:00-03:00,19.16,27.28,3.76
718,2022-05-19T12:00:00-03:00,19.2,27.25,3.78
719,2022-05-19T13:00:00-03:00,19.32,27.16,3.74
720,2022-05-19T14:00:00-03:00,19.23,27.31,3.77
721,2022-05-19T15:00:00-03:00,19.39,27.26,3.74
722,2022-05-19T16:00:00-03:00,19.44,27.08,3.73
727,2022-05-20T10:00:00-03:00,19.49,27.68,3.74
728,2022-05-20T11:00:00-03:00,19.54,27.73,3.66
729,2022-05-20T12:00:00-03:00,19.46,27.82,3.63
730,2022-05-20T13:00:00-03:00,19.69,27.68,3.6
731,2022-05-20T14:00:00-03:00,19.74,27.73,3.58
732,2022-05-20T15:00:00-03:00,19.66,27.82,3.64
733,2022-05-20T16:00:00-03:00,19.64,28.11,3.65
734,2022-05-20T17:00:00-03:00,19.67,27.96,3.67
738,2022-05-23T10:00:00-03:00,19.78,28.91,3.67
739,2022-05-23T11:00:00-03:00,19.84,28.86,3.69
740,2022-05-23T12:00:00-03:00,19.76,28.88,3.67
741,2022-05-23T13:00:00-03:00,19.97,28.91,3.72
742,2022-05-23T14:00:00-03:00,19.8,28.72,3.71
743,2022-05-23T15:00:00-03:00,19.96,28.88,3.71
744,2022-05-23T16:00:00-03:00,20.03,28.82,3.71
745,2022-05-23T17:00:00-03:00,19.99,28.73,3.7
749,2022-05-24T10:00:00-03:00,19.87,28.59,3.63
750,2022-05-24T11:00:00-03:00,19.94,28.49,3.61
751,2022-05-24T12:00:00-03:00,20.01,28.78,3.65
752,2022-05-24T13:00:00-03:00,20.07,28.59,3.62
753,2022-05-24T14:00:00-03:00,20.13,29.06,3.64
754,2022-05-24T15:00:00-03:00,20.21,28.78,3.63
755,2022-05-24T16:00:00-03:00,20.4,29.0,3.68
756,2022-05-24T17:00:00-03:00,20.41,29.1,3.71
760,2022-05-25T10:00:00-03:00,19.95,28.84,3.7
761,2022-05-25T11:00:00-03:00,19.96,28.78,3.76
762,2022-05-25T12:00:00-03:00,20.03,28.77,3.76
763,2022-05-25T13:00:00-03:00,20.15,28.84,3.73
764,2022-05-25T14:00:00-03:00,20.0,28.78,3.73
765,2022-05-25T15:00:00-03:00,20.23,28.77,3.76
766,2022-05-25T16:00:00-03:00,20.23,29.0,3.7
770,2022-05-26T10:00:00-03:00,20.02,29.22,3.79
771,2022-05-26T11:00:00-03:00,20.09,29.27,3.99
772,2022-05-26T12:00:00-03:00,20.08,28.92,4.02
773,2022-05-26T13:00:00-03:00,20.23,29.11,4.09
774,2022-05-26T14:00:00-03:00,20.12,29.01,4.06
775,2022-05-26T15:00:00-03:00,20.29,29.0,4.1
776,2022-05-26T16:00:00-03:00,20.37,29.14,4.09
777,2022-05-26T17:00:00-03:00,20.29,29.04,4.07
781,2022-05-27T10:00:00-03:00,20.18,29.47,3.99
782,2022-05-27T11:00:00-03:00,20.33,29.4,3.95
783,2022-05-27T12:00:00-03:00,20.3,29.47,3.96
784,2022-05-27T13:00:00-03:00,20.38,29.61,3.99
785,2022-05-27T14:00:00-03:00,20.36,29.49,3.99
786,2022-05-27T15:00:00-03:00,20.51,29.48,4.01
787,2022-05-27T16:00:00-03:00,20.55,29.41,4.0
791,2022-05-30T10:00:00-03:00,20.1,29.39,4.04
792,2022-05-30T11:00:00-03:00,20.13,29.15,3.84
793,2022-05-30T12:00:00-03:00,20.12,29.08,3.79
794,2022-05-30T13:00:00-03:00,20.3,29.32,3.83
795,2022-05-30T14:00:00-03:00,20.13,29.21,3.83
796,2022-05-30T15:00:00-03:00,20.31,29.12,3.83
797,2022-05-30T16:00:00-03:00,20.34,29.03,3.85
801,2022-05-31T10:00:00-03:00,20.33,28.95,3.77
802,2022-05-31T11:00:00-03:00,20.29,29.03,3.8
803,2022-05-31T12:00:00-03:00,20.2,28.89,3.8
804,2022-05-31T13:00:00-03:00,20.53,29.03,3.76
805,2022-05-31T14:00:00-03:00,20.11,29.09,3.75
806,2022-05-31T15:00:00-03:00,20.4,28.89,3.72
807,2022-05-31T16:00:00-03:00,20.36,28.88,3.71
808,2022-05-31T17:00:00-03:00,20.5,29.17,3.72
812,2022-06-01T10:00:00-03:00,19.92,29.3,3.79
813,2022-06-01T11:00:00-03:00,19.86,29.32,3.73
814,2022-06-01T12:00:00-03:00,19.85,29.25,3.65
815,2022-06-01T13:00:00-03:00,20.11,29.17,3.64
816,2022-06-01T14:00:00-03:00,19.96,29.29,3.68
817,2022-06-01T15:00:00-03:00,20.05,29.26,3.72
818,2022-06-01T16:00:00-03:00,20.11,29.18,3.73
819,2022-06-01T17:00:00-03:00,20.13,29.09,3.71
