,time,BBDC4,GGBR4,MGLU3
108,2022-02-17T10:00:00-03:00,21.46,26.82,6.85
109,2022-02-17T11:00:00-03:00,21.33,26.48,6.74
110,2022-02-17T12:00:00-03:00,21.27,26.16,6.76
111,2022-02-17T13:00:00-03:00,21.29,26.1,6.75
112,2022-02-17T14:00:00-03:00,21.26,26.25,6.73
113,2022-02-17T15:00:00-03:00,21.29,26.18,6.7
114,2022-02-17T16:00:00-03:00,21.17,26.07,6.73
115,2022-02-17T17:00:00-03:00,21.17,26.04,6.61
116,2022-02-17T18:00:00-03:00,21.19,25.99,6.63
117,2022-02-18T10:00:00-03:00,21.4,25.99,6.58
118,2022-02-18T11:00:00-03:00,21.31,25.87,6.51
119,2022-02-18T12:00:00-03:00,21.4,25.75,6.39
120,2022-02-18T13:00:00-03:00,21.35,25.8,6.41
121,2022-02-18T14:00:00-03:00,21.31,25.79,6.38
122,2022-02-18T15:00:00-03:00,21.36,25.71,6.39
123,2022-02-18T16:00:00-03:00,21.44,25.78,6.47
124,2022-02-18T17:00:00-03:00,21.34,25.49,6.4
125,2022-02-18T18:00:00-03:00,21.31,25.54,6.36
126,2022-02-21T10:00:00-03:00,21.25,25.54,6.3
127,2022-02-21T11:00:00-03:00,21.28,25.72,6.27
128,2022-02-21T12:00:00-03:00,21.24,25.77,6.27
129,2022-02-21T13:00:00-03:00,21.22,25.76,6.27
130,2022-02-21T14:00:00-03:00,21.23,25.84,6.21
131,2022-02-21T15:00:00-03:00,21.15,25.58,6.12
132,2022-02-21T16:00:00-03:00,21.01,25.47,6.06
133,2022-02-21T17:00:00-03:00,21.11,25.17,6.03
134,2022-02-21T18:00:00-03:00,21.06,25.24,6.02
135,2022-02-22T10:00:00-03:00,21.3,25.72,6.12
136,2022-02-22T11:00:00-03:00,21.19,25.52,6.12
137,2022-02-22T12:00:00-03:00,21.15,25.47,6.22
138,2022-02-22T13:00:00-03:00,21.13,25.44,6.15
139,2022-02-22T14:00:00-03:00,21.07,25.39,6.09
140,2022-02-22T15:00:00-03:00,20.95,25.21,6.05
141,2022-02-22T16:00:00-03:00,21.0,25.43,6.09
142,2022-02-22T17:00:00-03:00,20.94,25.46,6.09
143,2022-02-22T18:00:00-03:00,20.98,25.4,6.07
144,2022-02-23T10:00:00-03:00,21.15,25.13,6.39
145,2022-02-23T11:00:00-03:00,21.14,24.67,6.12
146,2022-02-23T12:00:00-03:00,21.01,24.46,6.1
147,2022-02-23T13:00:00-03:00,21.03,24.48,6.05
148,2022-02-23T14:00:00-03:00,20.97,24.49,6.04
149,2022-02-23T15:00:00-03:00,20.96,24.69,6.03
150,2022-02-23T16:00:00-03:00,20.94,24.58,5.96
151,2022-02-23T17:00:00-03:00,20.88,24.58,5.93
153,2022-02-24T10:00:00-03:00,20.22,24.49,5.55
154,2022-02-24T11:00:00-03:00,20.11,24.12,5.62
